NiceForNow Configuration,Tất Cả
Stock Alert Subscriptions,Đăng ký thông báo kho
There are no customers for this alert.,Không có khách hàng này cảnh báo.
Subscribe Date,Ngày đăng ký
Last Notified,Thông báo cuối
Send Count,Gửi Tổng số
Attribute Set,Thiết lập thuộc tính
Add New Option,Thêm lựa chọn mới
Import Options,Nhập tùy chọn
Add New Row,Thêm hàng mới
Delete Row,Xóa hàng
Tier Pricing,Giá theo bậc
Default Price,Giá mặc định
ALL GROUPS,TẤT CẢ CÁC NHÓM
Add Price,Thêm giá
Size for %1,Kích thước %1
Watermark File for %1,Tệp chìm khoảng %1
Position of Watermark for %1,Vị trí của tệp chìm khoảng %1
Name in %1,Tên %1
Update Attributes,Cập nhật thuộc tính
start typing to search category,bắt đầu nhập để tìm nhóm
Inc. Tax,Bao gồm thuế
Does this have a weight?,Sản phẩm này có trọng lượng không?
Notify Low Stock RSS,Thông báo tồn kho thấp
Low Stock Products,Sản phẩm tồn kho thấp
%1 has reached a quantity of %2.,%1 đã đạt một số lượng %2.
Subscribe to RSS Feed,Đăng ký RSS Feed
Products Comparison List,Danh sách sản phẩm so sánh
AM,Sáng
PM,Chiều
New Products from %1,Các sản phẩm mới từ %1
%1 - Special Products,%1 - sản phẩm đặc biệt
Click for price,Nhấp vào để xem giá
Special Expires On: %1,Hạn đặc biệt vào ngày: %1
Price: %1,Giá: %1
Special Price: %1,Giá đặc biệt: %1
Special Products,Sản phẩm đặc biệt
Manage Catalog Categories,Quản lý những loại mục lục
You deleted the category.,Bạn đã xoá mục này.
Something went wrong while trying to delete the category.,Một điều gì đó đã đi sai trong khi đang xóa mục này.
"Attribute ""%1"" is required.","Thuộc tính ""%1"" là bắt buộc."
Something went wrong while saving the category.,Một điềugì đó đã sai trong khi lưu mục này.
Please select products for attributes update.,Vui lòng chọn sản phẩm cho việc cập nhật thuộc tính.
Please make sure to define SKU values for all processed products.,Hãy chắc chắn để xác định các giá trị mã sản phẩm cho tất cả các sản phẩm được xử lý.
A total of %1 record(s) were updated., %1 bản ghi đã được cập nhật.
Something went wrong while updating the product(s) attributes.,Một điều đó đã đi sai trong khi cập nhật các thuộc tính của sản phẩm.
Unable to add attribute,Không thể thêm thuộc tính
"Please, specify attributes",Hãy chỉ định thuộc tính
Manage Product Attributes,Quản lý các thuộc tính sản phẩm
You deleted the product attribute.,Bạn đã xoá các thuộc tính của sản phẩm.
This attribute cannot be edited.,Thuộc tính này không thể được chỉnh sửa.
Edit Product Attribute,Chỉnh sửa thuộc tính sản phẩm
An attribute set named '%1' already exists.,Một bộ thuộc tính tên '%1' đã tồn tại.
Something went wrong while saving the attribute.,Một điều gì đó đã đi sai trong khi lưu các thuộc tính.
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Thuộc tính mã ""%1"" không hợp lệ. Hãy sử dụng chữ cái (a-z), ' ' số (0-9) hoặc dấu gạch chân(_) trong trường này, ký tự đầu tiên nên là một chữ cái."
We can't update the attribute.,Không thể Cập Nhật thuộc tính.
You saved the product attribute.,Bạn đã lưu thuộc tính của sản phẩm.
The value of Admin must be unique.,Giá trị của Admin phải là duy nhất.
The value of Admin scope can't be empty.,Giá trị của phạm vi Admin không thể để trống.
You duplicated the product.,Bạn lặp lại các sản phẩm.
This product doesn't exist.,Sản phẩm này không tồn tại.
Invalid product id. Should be numeric value greater than 0,Id sản phẩm không hợp lệ. Nên giá trị số lớn hơn 0
A group with the same name already exists.,Một nhóm có cùng tên đã tồn tại.
Something went wrong while saving this group.,Có điều gì đó đã sai trong khi lưu nhóm này.
A total of %1 record(s) have been deleted., %1 bản ghi đã bị xóa.
Something went wrong while updating the product(s) status.,Điều gì đó đã sai trong khi cập nhật trạng thái sản phẩm.
Unable to save product,Không thể lưu sản phẩm
You saved the product.,Bạn đã lưu sản phẩm.
SKU for product %1 has been changed to %2.,Mã sản phẩm đối với sản phẩm %1 đã được thay đổi thành %2.
The image cannot be removed as it has been assigned to the other image role,Hình ảnh không thể được loại bỏ vì nó đã được chỉ định vai trò của hình ảnh khác
New Attribute Set,Thiết lập thuộc tính mới
The attribute set has been removed.,Thiết lập thuộc tính đã được gỡ bỏ.
We can't delete this set right now.,Chúng ta không thể xóa thiết lập này ngay bây giờ.
New Set,Thiết lập mới
Manage Product Sets,Quản lý bộ sản phẩm
Manage Attribute Sets,Quản lý các bộ thuộc tính
This attribute set no longer exists.,Thuộc tính này thiết lập không còn tồn tại.
You saved the attribute set.,Bạn đã lưu thiết lập thuộc tính.
Something went wrong while saving the attribute set.,Điều gì đó đã sai trong khi lưu thuộc tính.
You cleared the comparison list.,Bạn xóa danh sách so sánh.
Something went wrong  clearing the comparison list.,Điều gì đó đã sai khi lọc danh sách so sánh.
You removed product %1 from the comparison list.,Bạn loại bỏ sản phẩm %1 từ danh sách so sánh.
Are you sure you want to remove this item from your Compare Products list?,Bạn có chắc bạn muốn xoá nó này khỏi danh sách so sánh sản phẩm của bạn không?
Are you sure you want to remove all items from your Compare Products list?,Bạn có chắc bạn muốn xoá nó khỏi danh sách so sánh sản phẩm của bạn không?
Invalid attribute %1,Thuộc tính không hợp lệ %1
Bad controller interface for showing product,Giao diện điều khiển không tốt cho việc hiển thị sản phẩm
Make sure the To Date is later than or the same as the From Date.,Đảm bảo Ngày Đến muộn hơn hoặc tương tự như Ngày Bắt Đầu.
Something went wrong while getting the image url.,Một điều gì đó đã sai trong khi nhận được các link của hình ảnh.
"The value of attribute ""%1"" must be unique.","Giá trị của thuộc tính ""%1"" phải là duy nhất."
Default Product Listing Sort by does not exist in Available Product Listing Sort By.,Danh sách sắp xếp sản phẩm mặc định không tồn tại trong danh sách sắp xếp các sản phẩm sẵn có.
No layout updates,Không có giao diện cập nhật
Products only,Chỉ sản phẩm
Static block only,Khối tĩnh
Static block and products,Khối tĩnh và các sản phẩm
Please select a static block.,Vui lòng chọn một khối tĩnh.
frontend_label,frontend_label
"Could not save product ""%1"" with position %2 to category %3","Không thể lưu sản phẩm ""%1"" với vị trí %2 trong mục %3"
Category does not contain specified product,Mục không chứa được chỉ định sản phẩm
"Could not save product ""%product"" with position %position to category %category","Không thể lưu sản phẩm ""%product"" với vị trí %position trong thể loại %category"
Operation do not allow to move a parent category to any of children category,Chiến dịch không cho phép để di chuyển thể loại cha với bất kỳ thể loại con
Could not move category,Không thể di chuyển mục lục
Could not save category: %1,Không thể lưu mục: %1
Cannot delete category with id %1,Không thể xoá các mục lục Id %1
 -- Please Select a Category --, --Vui lòng chọn mục lục--
Grid Only,Chỉ lưới
List Only,Chỉ liệt kê
Grid (default) / List,Lưới (mặc định) / danh sách
List (default) / Grid,Danh sách (mặc định) / lưới
Automatic (equalize price ranges),Tự động (cân bằng khoảng giá)
Automatic (equalize product counts),Tự động (cân bằng số lần sản phẩm)
Product Thumbnail Itself,Sản phẩm hình ảnh thu nhỏ của nó
Parent Product Thumbnail,Hình ảnh thu nhỏ sản phẩm cha
12h AM/PM,12h AM/PM
Stretch,Căng
Tile,Ngói
Top/Left,Trên cùng/trái
Top/Right,Trên cùng/phải
Bottom/Left,"Dưới cùng, bên trái"
Bottom/Right,"Dưới cùng, bên phải"
"Unknown EAV indexer type ""%1"".","Chỉ mục EAV kiểu ""%1"" không xác định."
Bad value was supplied.,Giá trị không tốt được cung cấp.
The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module,"Các mô-đun Flat Catalog có một giới hạn của %2\$ d có thể lọc và/hoặc sắp xếp thuộc tính. "" ""Hiện đang có %1\$ d của họ."" ""Vui lòng giảm bớt số lượng các thuộc tính có thể lọc/sắp xếp để sử dụng module này"
"Unsupported product type ""%1"".","Sản phẩm không được hỗ trợ kiểu ""%1""."
Please correct the category.,Hãy chỉnh sửa đúng các loại.
Must be category model instance or its id.,Phải là thể loại mô hình ví dụ hoặc id của nó.
%1 was not found in algorithms,%1 không được tìm thấy trong các thuật toán
%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface,%1 không mở rộng \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface
%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter,%1 không mở rộng \Magento\Catalog\Model\Layer\Filter\AbstractFilter
The filter must be an object. Please set the correct filter.,Bộ lọc phải là một đối tượng. Hãy thiết lập bộ lọc chính xác.
Clear Price,Giá rõ ràng
The filters must be an array.,Các bộ lọc phải là một mảng.
Product was not registered,Sản phẩm không được đăng ký
Store was not registered,Cửa hàng không được đăng ký
Group price must be a number greater than 0.,Giá nhóm phải là một số lớn hơn 0.
Media Gallery converter should be an instance of EntryConverterInterface.,Chuyển đổi thư viện phương tiện truyền thông nên một thể hiện của mục chuyển đổi giao diện.
There is no MediaGalleryEntryConverter for given type,Không có mục chuyển đổi giao diện cho loại có sẵn
Please enter a number 0 or greater in this field.,Hãy điền một số lớn hơn hoặc bằng 0 vào trường này.
"The value of attribute ""%1"" must be set","Phải được đặt là giá trị của thuộc tính ""%1"""
SKU length should be %1 characters maximum.,Độ dài mã sản phẩm nên là %1 ký tự tối đa.
